ping,lat,lon,heading,altitude,speed,depth
0,18.9220010,72.8346010,44.99,10.07,3.0,20.0
1,18.9220020,72.8346021,44.86,10.06,3.0,20.0
2,18.9220029,72.8346031,44.97,9.92,3.0,20.0
3,18.9220039,72.8346041,45.01,10.01,3.0,20.0
4,18.9220049,72.8346052,44.87,9.92,3.0,20.0
5,18.9220059,72.8346062,44.94,9.95,3.0,20.0
6,18.9220069,72.8346073,44.92,10.00,3.0,20.0
7,18.9220079,72.8346083,45.03,10.08,3.0,20.0
8,18.9220088,72.8346093,44.93,9.90,3.0,20.0
9,18.9220098,72.8346104,44.89,10.09,3.0,20.0
10,18.9220108,72.8346114,44.98,9.96,3.0,20.0
11,18.9220118,72.8346124,45.04,10.05,3.0,20.0
12,18.9220128,72.8346135,45.12,10.03,3.0,20.0
13,18.9220137,72.8346145,45.12,9.94,3.0,20.0
14,18.9220147,72.8346156,45.03,9.91,3.0,20.0
15,18.9220157,72.8346166,45.10,9.91,3.0,20.0
16,18.9220167,72.8346176,45.05,9.91,3.0,20.0
17,18.9220177,72.8346187,45.04,10.08,3.0,20.0
18,18.9220186,72.8346197,45.05,9.91,3.0,20.0
19,18.9220196,72.8346207,45.05,10.07,3.0,20.0
20,18.9220206,72.8346218,44.92,9.91,3.0,20.0
21,18.9220216,72.8346228,45.03,9.98,3.0,20.0
22,18.9220226,72.8346239,45.16,10.01,3.0,20.0
23,18.9220235,72.8346249,45.19,9.91,3.0,20.0
24,18.9220245,72.8346259,45.06,10.03,3.0,20.0
25,18.9220255,72.8346270,45.08,9.96,3.0,20.0
26,18.9220265,72.8346280,45.01,10.03,3.0,20.0
27,18.9220275,72.8346290,44.95,9.95,3.0,20.0
28,18.9220284,72.8346301,44.84,10.03,3.0,20.0
29,18.9220294,72.8346311,44.83,10.09,3.0,20.0
30,18.9220304,72.8346321,44.96,9.90,3.0,20.0
31,18.9220314,72.8346332,45.00,10.01,3.0,20.0
32,18.9220324,72.8346342,44.88,10.01,3.0,20.0
33,18.9220334,72.8346353,44.88,9.93,3.0,20.0
34,18.9220343,72.8346363,44.83,9.91,3.0,20.0
35,18.9220353,72.8346373,44.76,9.96,3.0,20.0
36,18.9220363,72.8346384,44.74,10.01,3.0,20.0
37,18.9220373,72.8346394,44.68,10.10,3.0,20.0
38,18.9220383,72.8346404,44.77,10.01,3.0,20.0
39,18.9220393,72.8346415,44.82,10.01,3.0,20.0
40,18.9220403,72.8346425,44.95,9.92,3.0,20.0
41,18.9220412,72.8346435,45.07,9.95,3.0,20.0
42,18.9220422,72.8346446,45.18,10.05,3.0,20.0
43,18.9220432,72.8346456,45.08,9.96,3.0,20.0
44,18.9220442,72.8346466,44.99,9.97,3.0,20.0
45,18.9220451,72.8346477,45.05,10.07,3.0,20.0
46,18.9220461,72.8346487,45.05,9.95,3.0,20.0
47,18.9220471,72.8346498,45.17,9.91,3.0,20.0
48,18.9220481,72.8346508,45.21,10.07,3.0,20.0
49,18.9220491,72.8346518,45.08,9.97,3.0,20.0
50,18.9220500,72.8346529,44.97,10.10,3.0,20.0
51,18.9220510,72.8346539,44.86,9.99,3.0,20.0
52,18.9220520,72.8346549,44.93,10.01,3.0,20.0
53,18.9220530,72.8346560,44.81,10.09,3.0,20.0
54,18.9220540,72.8346570,44.87,9.93,3.0,20.0
55,18.9220550,72.8346580,44.73,9.97,3.0,20.0
56,18.9220560,72.8346591,44.74,9.99,3.0,20.0
57,18.9220569,72.8346601,44.61,9.97,3.0,20.0
58,18.9220579,72.8346611,44.74,10.09,3.0,20.0
59,18.9220589,72.8346622,44.60,9.97,3.0,20.0
60,18.9220599,72.8346632,44.65,10.03,3.0,20.0
61,18.9220609,72.8346642,44.61,10.01,3.0,20.0
62,18.9220619,72.8346653,44.72,10.09,3.0,20.0
63,18.9220629,72.8346663,44.80,10.09,3.0,20.0
64,18.9220638,72.8346673,44.72,9.93,3.0,20.0
65,18.9220648,72.8346684,44.81,9.94,3.0,20.0
66,18.9220658,72.8346694,44.78,9.94,3.0,20.0
67,18.9220668,72.8346704,44.91,10.06,3.0,20.0
68,18.9220678,72.8346715,44.88,10.03,3.0,20.0
69,18.9220688,72.8346725,44.95,9.95,3.0,20.0
70,18.9220697,72.8346735,44.85,10.04,3.0,20.0
71,18.9220707,72.8346746,44.81,9.91,3.0,20.0
72,18.9220717,72.8346756,44.80,9.94,3.0,20.0
73,18.9220727,72.8346766,44.93,9.97,3.0,20.0
74,18.9220737,72.8346777,45.03,10.07,3.0,20.0
75,18.9220747,72.8346787,44.94,10.03,3.0,20.0
76,18.9220756,72.8346797,44.91,9.96,3.0,20.0
77,18.9220766,72.8346808,44.78,10.05,3.0,20.0
78,18.9220776,72.8346818,44.74,10.00,3.0,20.0
79,18.9220786,72.8346828,44.79,10.07,3.0,20.0
80,18.9220796,72.8346839,44.74,9.91,3.0,20.0
81,18.9220806,72.8346849,44.86,9.95,3.0,20.0
82,18.9220815,72.8346859,44.88,10.10,3.0,20.0
83,18.9220825,72.8346870,44.74,10.02,3.0,20.0
84,18.9220835,72.8346880,44.69,10.06,3.0,20.0
85,18.9220845,72.8346890,44.68,10.10,3.0,20.0
