ping,lat,lon,heading,altitude,speed,depth
0,18.9220010,72.8346010,44.97,10.10,3.0,20.0
1,18.9220020,72.8346021,44.85,10.08,3.0,20.0
2,18.9220030,72.8346031,44.75,10.07,3.0,20.0
3,18.9220039,72.8346041,44.80,10.09,3.0,20.0
4,18.9220049,72.8346052,44.74,10.03,3.0,20.0
5,18.9220059,72.8346062,44.88,9.93,3.0,20.0
6,18.9220069,72.8346072,44.78,10.01,3.0,20.0
7,18.9220079,72.8346083,44.67,9.91,3.0,20.0
8,18.9220089,72.8346093,44.53,9.97,3.0,20.0
9,18.9220099,72.8346103,44.57,9.99,3.0,20.0
10,18.9220108,72.8346114,44.60,9.91,3.0,20.0
11,18.9220118,72.8346124,44.48,10.01,3.0,20.0
12,18.9220128,72.8346134,44.38,9.90,3.0,20.0
13,18.9220138,72.8346144,44.25,10.03,3.0,20.0
14,18.9220148,72.8346155,44.39,10.00,3.0,20.0
15,18.9220158,72.8346165,44.24,9.94,3.0,20.0
16,18.9220168,72.8346175,44.29,10.06,3.0,20.0
17,18.9220178,72.8346185,44.20,9.99,3.0,20.0
18,18.9220188,72.8346195,44.06,10.01,3.0,20.0
19,18.9220198,72.8346206,44.14,10.00,3.0,20.0
20,18.9220208,72.8346216,44.23,9.95,3.0,20.0
21,18.9220218,72.8346226,44.28,9.99,3.0,20.0
22,18.9220228,72.8346236,44.31,9.91,3.0,20.0
23,18.9220238,72.8346247,44.29,10.02,3.0,20.0
24,18.9220247,72.8346257,44.21,10.01,3.0,20.0
25,18.9220257,72.8346267,44.07,9.98,3.0,20.0
26,18.9220267,72.8346277,44.20,10.03,3.0,20.0
27,18.9220277,72.8346288,44.20,10.07,3.0,20.0
28,18.9220287,72.8346298,44.26,10.00,3.0,20.0
29,18.9220297,72.8346308,44.23,10.07,3.0,20.0
30,18.9220307,72.8346318,44.24,10.00,3.0,20.0
31,18.9220317,72.8346328,44.21,9.93,3.0,20.0
32,18.9220327,72.8346339,44.11,10.02,3.0,20.0
33,18.9220337,72.8346349,44.12,10.05,3.0,20.0
34,18.9220347,72.8346359,44.11,9.98,3.0,20.0
35,18.9220357,72.8346369,44.13,9.95,3.0,20.0
36,18.9220367,72.8346380,44.26,10.03,3.0,20.0
37,18.9220377,72.8346390,44.20,10.00,3.0,20.0
38,18.9220387,72.8346400,44.31,10.09,3.0,20.0
39,18.9220397,72.8346410,44.37,10.08,3.0,20.0
40,18.9220407,72.8346421,44.46,9.97,3.0,20.0
41,18.9220416,72.8346431,44.43,9.99,3.0,20.0
42,18.9220426,72.8346441,44.30,10.02,3.0,20.0
43,18.9220436,72.8346451,44.31,10.06,3.0,20.0
44,18.9220446,72.8346462,44.27,10.10,3.0,20.0
45,18.9220456,72.8346472,44.34,10.02,3.0,20.0
46,18.9220466,72.8346482,44.26,10.09,3.0,20.0
47,18.9220476,72.8346492,44.31,10.03,3.0,20.0
48,18.9220486,72.8346502,44.22,9.94,3.0,20.0
49,18.9220496,72.8346513,44.13,10.08,3.0,20.0
50,18.9220506,72.8346523,44.11,10.04,3.0,20.0
51,18.9220516,72.8346533,44.17,10.06,3.0,20.0
52,18.9220526,72.8346543,44.11,9.94,3.0,20.0
53,18.9220536,72.8346554,44.24,9.93,3.0,20.0
54,18.9220546,72.8346564,44.39,9.98,3.0,20.0
55,18.9220556,72.8346574,44.25,9.96,3.0,20.0
56,18.9220566,72.8346584,44.33,9.98,3.0,20.0
57,18.9220576,72.8346595,44.22,9.92,3.0,20.0
58,18.9220585,72.8346605,44.09,10.01,3.0,20.0
59,18.9220595,72.8346615,44.05,10.04,3.0,20.0
60,18.9220605,72.8346625,43.94,9.96,3.0,20.0
61,18.9220615,72.8346635,43.95,9.97,3.0,20.0
62,18.9220625,72.8346645,44.01,9.95,3.0,20.0
63,18.9220635,72.8346656,44.09,10.03,3.0,20.0
64,18.9220645,72.8346666,44.06,10.04,3.0,20.0
65,18.9220655,72.8346676,44.01,10.08,3.0,20.0
66,18.9220665,72.8346686,44.09,9.96,3.0,20.0
67,18.9220675,72.8346697,44.19,10.03,3.0,20.0
68,18.9220685,72.8346707,44.30,10.04,3.0,20.0
69,18.9220695,72.8346717,44.42,10.01,3.0,20.0
70,18.9220705,72.8346727,44.38,10.05,3.0,20.0
71,18.9220715,72.8346738,44.51,10.00,3.0,20.0
72,18.9220725,72.8346748,44.57,10.02,3.0,20.0
73,18.9220735,72.8346758,44.52,9.94,3.0,20.0
74,18.9220745,72.8346768,44.56,9.93,3.0,20.0
75,18.9220754,72.8346779,44.54,10.06,3.0,20.0
76,18.9220764,72.8346789,44.50,9.99,3.0,20.0
77,18.9220774,72.8346799,44.64,10.02,3.0,20.0
78,18.9220784,72.8346810,44.66,9.94,3.0,20.0
