ping,lat,lon,heading,altitude,speed,depth
0,18.9220010,72.8346010,45.09,10.00,3.0,20.0
1,18.9220020,72.8346021,45.00,10.09,3.0,20.0
2,18.9220029,72.8346031,44.86,10.09,3.0,20.0
3,18.9220039,72.8346041,44.90,9.95,3.0,20.0
4,18.9220049,72.8346052,44.80,10.04,3.0,20.0
5,18.9220059,72.8346062,44.67,9.99,3.0,20.0
6,18.9220069,72.8346072,44.55,9.93,3.0,20.0
7,18.9220079,72.8346083,44.48,10.03,3.0,20.0
8,18.9220089,72.8346093,44.34,10.07,3.0,20.0
9,18.9220099,72.8346103,44.38,9.95,3.0,20.0
10,18.9220109,72.8346113,44.44,9.91,3.0,20.0
11,18.9220118,72.8346124,44.37,10.00,3.0,20.0
12,18.9220128,72.8346134,44.47,10.04,3.0,20.0
13,18.9220138,72.8346144,44.33,10.09,3.0,20.0
14,18.9220148,72.8346154,44.23,9.94,3.0,20.0
15,18.9220158,72.8346165,44.25,9.91,3.0,20.0
16,18.9220168,72.8346175,44.23,9.94,3.0,20.0
17,18.9220178,72.8346185,44.21,9.97,3.0,20.0
18,18.9220188,72.8346195,44.19,9.97,3.0,20.0
19,18.9220198,72.8346206,44.18,10.03,3.0,20.0
20,18.9220208,72.8346216,44.16,10.01,3.0,20.0
21,18.9220218,72.8346226,44.10,9.98,3.0,20.0
22,18.9220228,72.8346236,43.97,9.99,3.0,20.0
23,18.9220238,72.8346246,43.97,9.93,3.0,20.0
24,18.9220248,72.8346257,43.92,10.01,3.0,20.0
25,18.9220258,72.8346267,43.91,10.03,3.0,20.0
26,18.9220268,72.8346277,43.84,10.06,3.0,20.0
27,18.9220278,72.8346287,43.73,10.08,3.0,20.0
28,18.9220288,72.8346297,43.69,9.95,3.0,20.0
29,18.9220298,72.8346307,43.64,10.09,3.0,20.0
30,18.9220308,72.8346317,43.70,10.09,3.0,20.0
31,18.9220318,72.8346328,43.84,9.99,3.0,20.0
32,18.9220328,72.8346338,43.93,9.91,3.0,20.0
33,18.9220338,72.8346348,44.03,9.95,3.0,20.0
34,18.9220348,72.8346358,43.98,10.03,3.0,20.0
35,18.9220358,72.8346368,43.98,10.01,3.0,20.0
36,18.9220368,72.8346378,43.93,9.98,3.0,20.0
37,18.9220378,72.8346389,44.05,9.91,3.0,20.0
38,18.9220388,72.8346399,43.91,10.03,3.0,20.0
39,18.9220398,72.8346409,43.78,9.95,3.0,20.0
40,18.9220408,72.8346419,43.71,9.91,3.0,20.0
41,18.9220418,72.8346429,43.68,10.09,3.0,20.0
42,18.9220428,72.8346439,43.79,9.91,3.0,20.0
43,18.9220438,72.8346450,43.94,10.08,3.0,20.0
44,18.9220448,72.8346460,44.04,9.94,3.0,20.0
45,18.9220458,72.8346470,43.99,9.93,3.0,20.0
46,18.9220468,72.8346480,44.06,10.04,3.0,20.0
47,18.9220478,72.8346490,43.99,10.09,3.0,20.0
48,18.9220488,72.8346501,44.06,10.04,3.0,20.0
49,18.9220498,72.8346511,44.04,10.07,3.0,20.0
50,18.9220508,72.8346521,44.05,10.06,3.0,20.0
51,18.9220518,72.8346531,44.18,9.91,3.0,20.0
52,18.9220528,72.8346541,44.04,9.95,3.0,20.0
53,18.9220538,72.8346552,44.17,9.97,3.0,20.0
54,18.9220548,72.8346562,44.13,10.01,3.0,20.0
55,18.9220558,72.8346572,44.15,9.99,3.0,20.0
56,18.9220567,72.8346582,44.24,9.99,3.0,20.0
57,18.9220577,72.8346592,44.32,9.93,3.0,20.0
58,18.9220587,72.8346603,44.40,9.99,3.0,20.0
59,18.9220597,72.8346613,44.40,9.93,3.0,20.0
60,18.9220607,72.8346623,44.51,9.93,3.0,20.0
61,18.9220617,72.8346634,44.59,10.00,3.0,20.0
62,18.9220627,72.8346644,44.44,10.09,3.0,20.0
