ping,lat,lon,heading,altitude,speed,depth
0,18.9220010,72.8346010,44.86,9.94,3.0,20.0
1,18.9220020,72.8346021,44.73,9.93,3.0,20.0
2,18.9220030,72.8346031,44.79,10.05,3.0,20.0
3,18.9220039,72.8346041,44.74,10.03,3.0,20.0
4,18.9220049,72.8346052,44.74,10.00,3.0,20.0
5,18.9220059,72.8346062,44.85,9.96,3.0,20.0
6,18.9220069,72.8346072,44.96,10.04,3.0,20.0
7,18.9220079,72.8346083,45.02,9.90,3.0,20.0
8,18.9220089,72.8346093,44.89,9.91,3.0,20.0
9,18.9220098,72.8346103,44.84,10.09,3.0,20.0
10,18.9220108,72.8346114,44.96,10.07,3.0,20.0
11,18.9220118,72.8346124,44.84,10.04,3.0,20.0
12,18.9220128,72.8346134,44.93,10.06,3.0,20.0
13,18.9220138,72.8346145,45.01,9.93,3.0,20.0
14,18.9220147,72.8346155,44.92,10.06,3.0,20.0
15,18.9220157,72.8346166,44.99,10.08,3.0,20.0
16,18.9220167,72.8346176,44.97,10.08,3.0,20.0
17,18.9220177,72.8346186,44.86,10.09,3.0,20.0
18,18.9220187,72.8346197,44.98,9.97,3.0,20.0
19,18.9220197,72.8346207,44.85,10.01,3.0,20.0
20,18.9220206,72.8346217,44.91,9.97,3.0,20.0
21,18.9220216,72.8346228,44.77,9.96,3.0,20.0
22,18.9220226,72.8346238,44.87,9.92,3.0,20.0
23,18.9220236,72.8346248,45.00,9.95,3.0,20.0
24,18.9220246,72.8346259,44.91,9.92,3.0,20.0
25,18.9220256,72.8346269,45.06,10.08,3.0,20.0
26,18.9220265,72.8346280,45.00,9.92,3.0,20.0
27,18.9220275,72.8346290,45.05,10.08,3.0,20.0
28,18.9220285,72.8346300,44.90,10.03,3.0,20.0
29,18.9220295,72.8346311,45.01,9.99,3.0,20.0
30,18.9220305,72.8346321,45.03,10.06,3.0,20.0
31,18.9220314,72.8346331,44.95,9.95,3.0,20.0
32,18.9220324,72.8346342,45.00,10.01,3.0,20.0
33,18.9220334,72.8346352,45.01,9.97,3.0,20.0
34,18.9220344,72.8346362,45.14,9.96,3.0,20.0
35,18.9220354,72.8346373,45.20,10.08,3.0,20.0
36,18.9220363,72.8346383,45.17,9.91,3.0,20.0
37,18.9220373,72.8346394,45.08,9.91,3.0,20.0
38,18.9220383,72.8346404,44.98,9.92,3.0,20.0
39,18.9220393,72.8346414,44.93,9.97,3.0,20.0
40,18.9220403,72.8346425,44.91,10.03,3.0,20.0
41,18.9220412,72.8346435,44.97,10.04,3.0,20.0
42,18.9220422,72.8346445,44.93,10.03,3.0,20.0
43,18.9220432,72.8346456,44.94,9.93,3.0,20.0
44,18.9220442,72.8346466,44.95,9.96,3.0,20.0
45,18.9220452,72.8346477,45.01,10.05,3.0,20.0
46,18.9220462,72.8346487,44.93,9.99,3.0,20.0
47,18.9220471,72.8346497,44.92,9.96,3.0,20.0
48,18.9220481,72.8346508,44.78,9.91,3.0,20.0
49,18.9220491,72.8346518,44.93,10.05,3.0,20.0
50,18.9220501,72.8346528,44.91,10.03,3.0,20.0
51,18.9220511,72.8346539,44.84,10.04,3.0,20.0
52,18.9220521,72.8346549,44.97,10.05,3.0,20.0
53,18.9220530,72.8346559,44.96,10.10,3.0,20.0
54,18.9220540,72.8346570,45.09,9.91,3.0,20.0
55,18.9220550,72.8346580,45.06,9.99,3.0,20.0
56,18.9220560,72.8346591,45.00,10.02,3.0,20.0
57,18.9220570,72.8346601,44.89,10.05,3.0,20.0
58,18.9220579,72.8346611,45.00,9.91,3.0,20.0
59,18.9220589,72.8346622,45.05,9.95,3.0,20.0
60,18.9220599,72.8346632,45.10,10.04,3.0,20.0
61,18.9220609,72.8346642,45.24,10.06,3.0,20.0
62,18.9220619,72.8346653,45.19,10.05,3.0,20.0
63,18.9220628,72.8346663,45.08,10.04,3.0,20.0
64,18.9220638,72.8346674,45.06,9.95,3.0,20.0
65,18.9220648,72.8346684,44.98,9.94,3.0,20.0
66,18.9220658,72.8346694,45.07,9.92,3.0,20.0
67,18.9220668,72.8346705,44.99,9.94,3.0,20.0
68,18.9220677,72.8346715,44.89,10.05,3.0,20.0
69,18.9220687,72.8346725,44.91,10.03,3.0,20.0
70,18.9220697,72.8346736,45.03,9.99,3.0,20.0
71,18.9220707,72.8346746,44.89,9.94,3.0,20.0
72,18.9220717,72.8346757,44.90,10.04,3.0,20.0
73,18.9220726,72.8346767,45.02,10.00,3.0,20.0
74,18.9220736,72.8346777,44.94,10.02,3.0,20.0
75,18.9220746,72.8346788,45.07,9.97,3.0,20.0
76,18.9220756,72.8346798,45.20,10.08,3.0,20.0
77,18.9220766,72.8346808,45.23,10.00,3.0,20.0
78,18.9220775,72.8346819,45.11,9.92,3.0,20.0
79,18.9220785,72.8346829,44.98,10.02,3.0,20.0
80,18.9220795,72.8346840,45.04,10.10,3.0,20.0
81,18.9220805,72.8346850,45.07,10.10,3.0,20.0
82,18.9220815,72.8346860,45.04,9.93,3.0,20.0
83,18.9220824,72.8346871,44.91,9.96,3.0,20.0
84,18.9220834,72.8346881,44.92,10.10,3.0,20.0
85,18.9220844,72.8346891,44.86,9.95,3.0,20.0
86,18.9220854,72.8346902,44.93,9.98,3.0,20.0
87,18.9220864,72.8346912,44.94,9.93,3.0,20.0
88,18.9220874,72.8346923,45.05,10.08,3.0,20.0
89,18.9220883,72.8346933,45.13,10.09,3.0,20.0
90,18.9220893,72.8346943,45.08,9.91,3.0,20.0
91,18.9220903,72.8346954,45.02,10.08,3.0,20.0
92,18.9220913,72.8346964,45.01,9.94,3.0,20.0
93,18.9220923,72.8346974,44.90,9.93,3.0,20.0
94,18.9220932,72.8346985,44.88,10.09,3.0,20.0
95,18.9220942,72.8346995,45.00,10.05,3.0,20.0
96,18.9220952,72.8347006,45.08,9.94,3.0,20.0
97,18.9220962,72.8347016,45.16,9.94,3.0,20.0
98,18.9220972,72.8347026,45.17,9.91,3.0,20.0
99,18.9220981,72.8347037,45.29,9.93,3.0,20.0
100,18.9220991,72.8347047,45.31,10.03,3.0,20.0
101,18.9221001,72.8347058,45.36,10.04,3.0,20.0
102,18.9221011,72.8347068,45.32,10.06,3.0,20.0
103,18.9221020,72.8347078,45.45,10.02,3.0,20.0
104,18.9221030,72.8347089,45.59,10.07,3.0,20.0
105,18.9221040,72.8347099,45.46,10.03,3.0,20.0
106,18.9221050,72.8347110,45.34,10.03,3.0,20.0
107,18.9221059,72.8347120,45.30,10.07,3.0,20.0
108,18.9221069,72.8347131,45.16,10.09,3.0,20.0
109,18.9221079,72.8347141,45.02,9.91,3.0,20.0
110,18.9221089,72.8347151,44.88,9.93,3.0,20.0
111,18.9221099,72.8347162,45.02,10.07,3.0,20.0
112,18.9221108,72.8347172,45.15,9.94,3.0,20.0
113,18.9221118,72.8347183,45.20,10.06,3.0,20.0
114,18.9221128,72.8347193,45.27,9.95,3.0,20.0
115,18.9221138,72.8347203,45.41,10.05,3.0,20.0
116,18.9221147,72.8347214,45.47,9.96,3.0,20.0
117,18.9221157,72.8347224,45.44,10.05,3.0,20.0
118,18.9221167,72.8347235,45.44,10.00,3.0,20.0
119,18.9221177,72.8347245,45.57,9.98,3.0,20.0
120,18.9221186,72.8347256,45.67,9.91,3.0,20.0
121,18.9221196,72.8347266,45.68,10.04,3.0,20.0
122,18.9221206,72.8347277,45.54,10.04,3.0,20.0
123,18.9221215,72.8347287,45.47,10.03,3.0,20.0
124,18.9221225,72.8347298,45.51,9.93,3.0,20.0
125,18.9221235,72.8347308,45.64,9.95,3.0,20.0
126,18.9221244,72.8347319,45.53,9.99,3.0,20.0
127,18.9221254,72.8347329,45.40,9.92,3.0,20.0
128,18.9221264,72.8347339,45.48,9.92,3.0,20.0
129,18.9221274,72.8347350,45.49,10.08,3.0,20.0
130,18.9221283,72.8347360,45.48,10.06,3.0,20.0
131,18.9221293,72.8347371,45.58,9.93,3.0,20.0
132,18.9221303,72.8347381,45.45,10.06,3.0,20.0
133,18.9221313,72.8347392,45.56,10.07,3.0,20.0
134,18.9221322,72.8347402,45.63,10.00,3.0,20.0
135,18.9221332,72.8347413,45.76,10.05,3.0,20.0
136,18.9221342,72.8347423,45.84,10.08,3.0,20.0
137,18.9221351,72.8347434,45.71,10.05,3.0,20.0
138,18.9221361,72.8347444,45.73,9.90,3.0,20.0
139,18.9221371,72.8347455,45.66,10.04,3.0,20.0
140,18.9221380,72.8347465,45.67,10.01,3.0,20.0
141,18.9221390,72.8347476,45.61,10.01,3.0,20.0
142,18.9221400,72.8347486,45.72,10.10,3.0,20.0
143,18.9221409,72.8347497,45.73,10.05,3.0,20.0
144,18.9221419,72.8347507,45.61,9.93,3.0,20.0
145,18.9221429,72.8347518,45.63,10.07,3.0,20.0
146,18.9221439,72.8347528,45.51,9.93,3.0,20.0
147,18.9221448,72.8347539,45.51,9.96,3.0,20.0
148,18.9221458,72.8347549,45.41,9.93,3.0,20.0
149,18.9221468,72.8347560,45.38,10.06,3.0,20.0
150,18.9221478,72.8347570,45.29,10.06,3.0,20.0
151,18.9221487,72.8347580,45.16,9.95,3.0,20.0
152,18.9221497,72.8347591,45.21,9.90,3.0,20.0
153,18.9221507,72.8347601,45.16,9.93,3.0,20.0
154,18.9221517,72.8347612,45.07,10.08,3.0,20.0
155,18.9221526,72.8347622,44.97,10.04,3.0,20.0
156,18.9221536,72.8347632,45.10,9.95,3.0,20.0
157,18.9221546,72.8347643,45.20,9.96,3.0,20.0
158,18.9221556,72.8347653,45.29,10.02,3.0,20.0
159,18.9221566,72.8347664,45.24,10.08,3.0,20.0
160,18.9221575,72.8347674,45.30,9.96,3.0,20.0
161,18.9221585,72.8347684,45.32,9.96,3.0,20.0
162,18.9221595,72.8347695,45.26,10.09,3.0,20.0
163,18.9221605,72.8347705,45.40,9.93,3.0,20.0
164,18.9221614,72.8347716,45.52,10.04,3.0,20.0
165,18.9221624,72.8347726,45.38,9.92,3.0,20.0
166,18.9221634,72.8347737,45.36,10.08,3.0,20.0
167,18.9221644,72.8347747,45.47,9.95,3.0,20.0
168,18.9221653,72.8347758,45.45,10.09,3.0,20.0
