id,class_name,confidence_percent,latitude,longitude,length_m,width_m,estimated_height_m,area_m2,channel,ground_range_m,slant_range_m,depth_m,status,contrast_ratio,shadow_length_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,created_at
a2c678b2,generic_debris,98.3,18.922153,72.8351575,1.7,8.59,1.77,14.59,starboard,29.51,31.15,20.0,high_confidence,5.51,65.0,787.0,339.0,875.0,350.0,2026-08-26 19:11:42
fdedaaf6,ghost_net,97.9,18.9230694,72.8352185,2.01,9.08,1.56,18.22,port,38.33,39.6,20.0,high_confidence,6.05,73.0,60.0,836.0,153.0,849.0,2026-08-26 19:11:42
00811f63,ghost_net,96.0,18.9230428,72.8351913,2.47,9.38,1.62,23.15,port,38.25,39.55,20.0,high_confidence,5.99,75.0,59.0,807.0,155.0,823.0,2026-08-26 19:11:42
9707adf3,generic_debris,94.6,18.9221381,72.8351559,1.7,9.18,1.97,15.58,starboard,30.55,32.13,20.0,high_confidence,4.15,77.0,794.0,331.0,888.0,342.0,2026-08-26 19:11:42
48ce1475,ghost_net,89.5,18.9221597,72.835164,6.33,13.87,2.38,87.75,starboard,29.47,31.15,20.0,high_confidence,2.45,93.0,760.0,331.0,902.0,372.0,2026-08-26 19:11:42
e87d70d9,pipe_cylinder,89.5,18.9231134,72.8351931,1.39,10.16,1.62,14.11,port,43.69,44.82,20.0,high_confidence,6.08,86.0,1.0,847.0,105.0,856.0,2026-08-26 19:11:42
891c466a,pipe_cylinder,89.3,18.9230411,72.835173,4.78,10.35,1.87,49.53,port,39.48,40.72,20.0,high_confidence,5.24,93.0,42.0,791.0,148.0,822.0,2026-08-26 19:11:42
289e2443,ghost_net,88.7,18.9231195,72.8352003,1.85,10.25,1.69,18.99,port,43.64,44.78,20.0,high_confidence,6.22,91.0,1.0,850.0,106.0,862.0,2026-08-26 19:11:42
3161ed3b,pipe_cylinder,88.3,18.9221417,72.8351713,4.01,9.96,2.24,39.97,starboard,31.43,33.01,20.0,high_confidence,5.79,92.0,799.0,332.0,901.0,358.0,2026-08-26 19:11:42
b54cb4e5,generic_debris,88.3,18.9230528,72.8351948,1.54,9.38,1.62,14.47,port,38.78,40.04,20.0,high_confidence,5.7,77.0,54.0,817.0,150.0,827.0,2026-08-26 19:11:42
e2b59d56,generic_debris,88.3,18.9230702,72.8352101,1.7,9.28,1.65,15.75,port,39.03,40.28,20.0,high_confidence,5.78,79.0,52.0,833.0,147.0,844.0,2026-08-26 19:11:42
5432520b,ghost_net,86.4,18.9221411,72.8351468,2.01,8.98,1.84,18.03,starboard,29.63,31.25,20.0,high_confidence,2.18,69.0,786.0,328.0,878.0,341.0,2026-08-26 19:11:42
eec4e82e,generic_debris,85.8,18.9230205,72.8351718,1.54,8.69,1.46,13.41,port,37.94,39.21,20.0,high_confidence,2.13,67.0,66.0,791.0,155.0,801.0,2026-08-26 19:11:42
7378a0cd,shipwreck,84.0,18.9230484,72.8352234,13.89,12.21,1.59,169.56,port,36.31,37.65,20.0,high_confidence,2.01,71.0,64.0,787.0,189.0,877.0,2026-08-26 19:11:42
07391ab0,generic_debris,83.8,18.9220059,72.8349276,1.54,5.86,0.87,9.04,starboard,23.94,25.98,20.0,high_confidence,2.14,23.0,748.0,156.0,808.0,166.0,2026-08-26 19:11:42
2b929242,ghost_net,83.4,18.9221849,72.8351635,2.31,7.91,1.33,18.31,starboard,27.47,29.25,20.0,high_confidence,2.1,43.0,771.0,357.0,852.0,372.0,2026-08-26 19:11:42
e2cb58aa,generic_debris,83.3,18.9228217,72.8351736,1.85,5.47,0.92,10.13,port,22.27,24.41,20.0,high_confidence,2.45,23.0,234.0,688.0,290.0,700.0,2026-08-26 19:11:42
051d310c,ghost_net,82.9,18.922188,72.8351721,2.01,8.01,1.41,16.07,starboard,27.87,29.59,20.0,high_confidence,1.88,47.0,774.0,364.0,856.0,377.0,2026-08-26 19:11:42
26a5e6d4,pipe_cylinder,82.8,18.9219981,72.8349049,1.39,6.15,0.56,8.55,starboard,22.88,24.95,20.0,high_confidence,2.06,14.0,736.0,141.0,799.0,150.0,2026-08-26 19:11:42
dc6fa4ab,generic_debris,82.6,18.9230104,72.8351978,1.7,6.84,0.84,11.61,port,35.22,36.62,20.0,high_confidence,2.02,33.0,102.0,797.0,172.0,808.0,2026-08-26 19:11:42
c512ea35,container,82.0,18.9220154,72.8349248,1.54,5.86,0.6,9.04,starboard,22.98,25.1,20.0,high_confidence,1.8,15.0,739.0,159.0,799.0,169.0,2026-08-26 19:11:42
5e0784ea,generic_debris,81.5,18.9228352,72.8351865,1.7,5.37,0.9,9.12,port,22.37,24.46,20.0,high_confidence,2.21,23.0,234.0,702.0,289.0,713.0,2026-08-26 19:11:42
b160170c,ghost_net,80.9,18.9230109,72.8352032,4.63,7.62,0.84,35.27,port,34.85,36.23,20.0,high_confidence,1.93,33.0,102.0,790.0,180.0,820.0,2026-08-26 19:11:42
9373af65,ghost_net,80.1,18.9228232,72.8351834,2.93,6.25,0.86,18.33,port,21.66,23.83,20.0,high_confidence,2.06,21.0,236.0,691.0,300.0,710.0,2026-08-26 19:11:42
ec043aba,ghost_net,80.1,18.9228424,72.8351895,2.78,5.76,1.12,16.01,port,22.72,24.85,20.0,high_confidence,2.0,29.0,228.0,703.0,287.0,721.0,2026-08-26 19:11:42
