id,class_name,confidence_percent,latitude,longitude,length_m,width_m,estimated_height_m,area_m2,channel,ground_range_m,slant_range_m,depth_m,status,contrast_ratio,shadow_length_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,created_at
20df3cfb,container,100.0,18.922727,72.834812,10.8,12.79,1.32,138.21,port,42.44,43.6,20.0,high_confidence,4.24,66.0,0.0,425.0,131.0,495.0,2026-08-26 19:11:45
63967c53,container,98.3,18.9219165,72.8349561,11.73,15.53,2.15,182.13,starboard,33.02,34.52,20.0,high_confidence,3.67,92.0,786.0,92.0,945.0,168.0,2026-08-26 19:11:45
210b7509,pipe_cylinder,91.2,18.9224819,72.8347746,20.06,6.54,1.19,131.27,port,25.3,27.2,20.0,high_confidence,3.65,35.0,200.0,260.0,267.0,390.0,2026-08-26 19:11:45
a244fa74,shipwreck,89.4,18.9228723,72.8355945,18.52,6.64,9.96,122.98,port,0.0,2.93,20.0,high_confidence,2.64,31.0,448.0,864.0,516.0,984.0,2026-08-26 19:11:45
b34a335b,generic_debris,88.7,18.9219043,72.8350118,1.7,8.89,1.22,15.09,starboard,38.1,39.4,20.0,high_confidence,12.94,54.0,870.0,145.0,961.0,156.0,2026-08-26 19:11:45
3d596603,container,87.6,18.9222746,72.8346427,9.26,10.06,1.76,93.14,port,18.47,21.04,20.0,high_confidence,3.14,40.0,245.0,129.0,348.0,189.0,2026-08-26 19:11:45
21edb127,generic_debris,84.5,18.9218913,72.83501,1.54,8.59,1.09,13.26,starboard,38.99,40.23,20.0,high_confidence,13.3,49.0,880.0,139.0,968.0,149.0,2026-08-26 19:11:45
7e0cf527,generic_debris,83.3,18.921923,72.8350112,1.7,9.86,1.9,16.74,starboard,36.58,37.94,20.0,high_confidence,3.58,87.0,850.0,154.0,951.0,165.0,2026-08-26 19:11:45
bdfc57f6,ghost_net,76.8,18.9223666,72.8352967,5.4,5.76,1.36,31.12,starboard,21.5,23.68,20.0,high_confidence,2.69,35.0,725.0,512.0,784.0,547.0,2026-08-26 19:11:45
20c15bc3,generic_debris,74.3,18.9219944,72.8349324,1.54,3.03,0.05,4.67,starboard,25.1,27.0,20.0,high_confidence,2.73,1.0,773.0,152.0,804.0,162.0,2026-08-26 19:11:45
40cbfd7a,pipe_cylinder,72.2,18.9224175,72.8350525,1.39,3.91,10.03,5.43,starboard,0.0,0.0,20.0,high_confidence,1.91,7.0,492.0,426.0,532.0,435.0,2026-08-26 19:11:45
