id,class_name,confidence_percent,latitude,longitude,length_m,width_m,estimated_height_m,area_m2,channel,ground_range_m,slant_range_m,depth_m,status,contrast_ratio,shadow_length_px,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,created_at
76dca2d0,container,96.7,18.922676,72.8350481,12.35,16.02,2.93,197.74,port,20.63,22.95,20.0,high_confidence,3.37,87.0,195.0,517.0,359.0,597.0,2026-08-26 19:11:48
2aad319b,container,93.6,18.9228011,72.835269,12.66,14.55,3.13,184.14,port,14.81,17.82,20.0,high_confidence,3.34,70.0,255.0,684.0,404.0,766.0,2026-08-26 19:11:48
36b2ccb6,container,90.0,18.922552,72.8345812,1.54,7.71,1.14,11.91,port,45.06,46.14,20.0,high_confidence,15.84,60.0,0.0,258.0,79.0,268.0,2026-08-26 19:11:48
baecdfab,pipe_cylinder,87.7,18.9224379,72.8348858,20.99,5.76,1.96,120.93,port,13.73,17.04,20.0,high_confidence,3.35,34.0,308.0,290.0,367.0,426.0,2026-08-26 19:11:48
18ee6b53,ghost_net,87.4,18.9225439,72.8345696,1.85,7.32,1.16,13.56,port,45.26,46.34,20.0,high_confidence,11.6,61.0,0.0,247.0,75.0,259.0,2026-08-26 19:11:48
239b8604,ghost_net,86.7,18.9225379,72.8345944,6.94,11.72,1.24,81.39,port,42.97,44.14,20.0,high_confidence,3.18,62.0,0.0,240.0,120.0,285.0,2026-08-26 19:11:48
34ceca51,container,83.9,18.9222593,72.8349119,10.65,13.18,7.37,140.39,starboard,2.48,10.21,20.0,high_confidence,2.9,74.0,549.0,248.0,684.0,317.0,2026-08-26 19:11:48
f6b6c356,generic_debris,82.8,18.9225247,72.8345661,1.7,7.91,1.01,13.43,port,43.96,45.07,20.0,high_confidence,2.69,51.0,10.0,237.0,91.0,248.0,2026-08-26 19:11:48
8e08a9b1,generic_debris,81.2,18.9225699,72.8345983,1.7,7.23,1.19,12.27,port,45.28,46.39,20.0,high_confidence,2.91,62.0,0.0,276.0,74.0,287.0,2026-08-26 19:11:48
0a296f0a,generic_debris,78.5,18.9225136,72.8345701,1.54,7.23,0.78,11.15,port,42.78,43.95,20.0,high_confidence,2.2,37.0,25.0,234.0,99.0,244.0,2026-08-26 19:11:48
a9c618ef,ghost_net,78.2,18.9226626,72.8354944,5.25,6.15,2.32,32.28,starboard,12.5,15.97,20.0,high_confidence,2.99,39.0,644.0,756.0,707.0,790.0,2026-08-26 19:11:48
2b063ed9,ghost_net,76.7,18.9225033,72.8345874,2.47,6.64,0.48,16.4,port,40.7,41.89,20.0,high_confidence,2.36,21.0,49.0,234.0,117.0,250.0,2026-08-26 19:11:48
